unit,units
Abkhazian apsar,Abkhazian apsar
acre,acre
acre ft,acre ft
Acre-Foot,Acre-Foot
acres,acres
AED,AED
Afghan afghani,Afghan afghani
AFN,AFN
Agora,Agora
Albanian lek,Albanian lek
Alderney pound,Alderney pound
Algerian dinar,Algerian dinar
ALL,ALL
AMD,AMD
amp,amp
Ampere,Ampere
amps,amps
ANG,ANG
Angolan kwanza,Angolan kwanza
Angular Frequency,Angular Frequency
AOA,AOA
Argentine peso,Argentine peso
Argentine pesos,Argentine pesos
Armenian dram,Armenian dram
ARS,ARS
Artsakh dram,Artsakh dram
Aruban florin,Aruban florin
Astronomical Unit,Astronomical Unit
Astronomical Units,Astronomical Units
Att,Att
AUD,AUD
Australian dollar,Australian dollar
Australian dollars,Australian dollars
Avo,Avo
AWG,AWG
Azerbaijani manat,Azerbaijani manat
AZN,AZN
Bahamian dollar,Bahamian dollar
Bahraini dinar,Bahraini dinar
Baisa,Baisa
BAM,BAM
Ban,Ban
Bangladeshi taka,Bangladeshi taka
bar,bar
Barbadian dollar,Barbadian dollar
Barbadian dollars,Barbadian dollars
BBD,BBD
BDT,BDT
Becquerel,Becquerel
Belarusian rubel,Belarusian rubel
Belarusian rubels,Belarusian rubels
Belize dollar,Belize dollar
Belize dollars,Belize dollars
Bermudian dollar,Bermudian dollar
Bermudian dollars,Bermudian dollars
BGN,BGN
BHD,BHD
Bhutanese ngultrum,Bhutanese ngultrum
BIF,BIF
Bit,Bit
Bitcoin,Bitcoin
bits,bits
BMD,BMD
BND,BND
BOB,BOB
Bolivian boliviano,Bolivian boliviano
Botswana pula,Botswana pula
Bq,Bq
Brazilian real,Brazilian real
BRL,BRL
Brunei dollar,Brunei dollar
BSD,BSD
BTN,BTN
Bulgarian lev,Bulgarian lev
Burmese kyat,Burmese kyat
Burundian franc,Burundian franc
Butut,Butut
BWP,BWP
BYN,BYN
Byte,Byte
Bytes,Bytes
BZD,BZD
C,C
CAD,CAD
Cal ,Cal 
calories,calories
Cambodian riel,Cambodian riel
Canadian dollar,Canadian dollar
Canadian dollars,Canadian dollars
Candela,Candela
Candela per square metre,Candela per square metre
Cape Verdean escudo,Cape Verdean escudo
Cayman Islands dollar,Cayman Islands dollar
Cayman Islands dollars,Cayman Islands dollars
cd,cd
CDF,CDF
celcius,celcius
Cent,Cent
Centavo,Centavo
Centavos,Centavos
Centésimo,Centésimo
Centigrade,Centigrade
Centigrades,Centigrades
Centiliter,Centiliter
Centiliters,Centiliters
Centime,Centime
Centimeter,Centimeter
Centimeters,Centimeters
Céntimo,Céntimo
